área bounding box,ocorrências,%
86764,11,0.002%
86768,4,0.0007%
86769,1,0.0002%
86775,1,0.0002%
86779,2,0.0004%
86784,70,0.0127%
86790,1,0.0002%
86800,10,0.0018%
86802,2,0.0004%
86814,5,0.0009%
86815,9,0.0016%
86828,1,0.0002%
86829,6,0.0011%
86832,21,0.0038%
86838,1,0.0002%
86840,1,0.0002%
86846,1,0.0002%
86848,3,0.0005%
86850,53,0.0096%
86856,4,0.0007%
86858,1,0.0002%
86860,7,0.0013%
86864,5,0.0009%
86868,10,0.0018%
86875,2,0.0004%
86877,2,0.0004%
86880,13,0.0024%
86881,6,0.0011%
86884,10,0.0018%
86900,4,0.0007%
86901,1,0.0002%
86904,16,0.0029%
86907,3,0.0005%
86912,12,0.0022%
86920,20,0.0036%
86922,3,0.0005%
86925,5,0.0009%
86932,43,0.0078%
86940,56,0.0102%
86941,66,0.012%
86943,1,0.0002%
86944,28,0.0051%
86950,3,0.0005%
86955,2,0.0004%
86961,6,0.0011%
86963,2,0.0004%
86970,3,0.0005%
86976,8,0.0015%
86978,2,0.0004%
86979,3,0.0005%
86982,1,0.0002%
86989,6,0.0011%
86991,1,0.0002%
86994,11,0.002%
86996,12,0.0022%
87000,10,0.0018%
87009,1,0.0002%
87010,86,0.0156%
87014,1,0.0002%
87016,8,0.0015%
87017,1,0.0002%
87020,1,0.0002%
87021,4,0.0007%
87024,3,0.0005%
87025,3,0.0005%
87032,4,0.0007%
87033,6,0.0011%
87035,1,0.0002%
87040,4,0.0007%
87042,11,0.002%
87044,6,0.0011%
87048,15,0.0027%
87061,1,0.0002%
87062,12,0.0022%
87074,1,0.0002%
87075,65,0.0118%
87080,5,0.0009%
87084,6,0.0011%
87087,5,0.0009%
87096,5,0.0009%
87098,7,0.0013%
87106,1,0.0002%
87108,28,0.0051%
87110,4,0.0007%
87117,13,0.0024%
87120,17,0.0031%
87125,13,0.0024%
87129,1,0.0002%
87132,28,0.0051%
87135,4,0.0007%
87138,16,0.0029%
87142,2,0.0004%
87143,32,0.0058%
87147,14,0.0025%
87150,10,0.0018%
87152,19,0.0034%
87153,21,0.0038%
87162,6,0.0011%
87164,2,0.0004%
87168,53,0.0096%
87173,7,0.0013%
87175,2,0.0004%
87178,7,0.0013%
87185,1,0.0002%
87188,10,0.0018%
87192,2,0.0004%
87193,1,0.0002%
87200,6,0.0011%
87204,1,0.0002%
87207,1,0.0002%
87210,4,0.0007%
87216,3,0.0005%
87220,7,0.0013%
87234,6,0.0011%
87236,42,0.0076%
87237,1,0.0002%
87242,4,0.0007%
87246,1,0.0002%
87248,9,0.0016%
87255,2,0.0004%
87261,6,0.0011%
87262,1,0.0002%
87264,13,0.0024%
87271,1,0.0002%
87278,8,0.0015%
87282,1,0.0002%
87285,1,0.0002%
87290,24,0.0044%
87292,2,0.0004%
87295,4,0.0007%
87296,3,0.0005%
87300,48,0.0087%
87308,1,0.0002%
87309,2,0.0004%
87312,40,0.0073%
87314,3,0.0005%
87316,2,0.0004%
87318,3,0.0005%
87320,1,0.0002%
87324,12,0.0022%
87327,2,0.0004%
87329,2,0.0004%
87330,20,0.0036%
87344,31,0.0056%
87346,2,0.0004%
87348,1,0.0002%
87352,5,0.0009%
87354,27,0.0049%
87360,59,0.0107%
87361,2,0.0004%
87362,17,0.0031%
87375,1,0.0002%
87380,2,0.0004%
87381,6,0.0011%
87384,1,0.0002%
87391,7,0.0013%
87395,67,0.0122%
87398,3,0.0005%
87400,6,0.0011%
87406,1,0.0002%
87408,1,0.0002%
87416,4,0.0007%
87418,2,0.0004%
87420,6,0.0011%
87423,3,0.0005%
87429,1,0.0002%
87435,3,0.0005%
87438,2,0.0004%
87444,1,0.0002%
87447,8,0.0015%
87450,8,0.0015%
87451,4,0.0007%
87453,1,0.0002%
87462,25,0.0045%
87464,4,0.0007%
87466,12,0.0022%
87468,3,0.0005%
87472,10,0.0018%
87474,4,0.0007%
87478,8,0.0015%
87480,9,0.0016%
87482,1,0.0002%
87492,1,0.0002%
87493,4,0.0007%
87495,1,0.0002%
87500,1,0.0002%
87505,11,0.002%
87507,3,0.0005%
87516,11,0.002%
87525,9,0.0016%
87526,18,0.0033%
87528,1,0.0002%
87531,4,0.0007%
87532,2,0.0004%
87535,43,0.0078%
87538,1,0.0002%
87542,4,0.0007%
87543,24,0.0044%
87544,2,0.0004%
87550,18,0.0033%
87552,16,0.0029%
87556,10,0.0018%
87560,5,0.0009%
87561,12,0.0022%
87565,11,0.002%
87567,3,0.0005%
87568,9,0.0016%
87570,20,0.0036%
87571,16,0.0029%
87579,1,0.0002%
87580,1,0.0002%
87584,4,0.0007%
87590,4,0.0007%
87591,2,0.0004%
87600,8,0.0015%
87604,4,0.0007%
87606,1,0.0002%
87608,1,0.0002%
87612,2,0.0004%
87622,43,0.0078%
87630,2,0.0004%
87633,1,0.0002%
87636,11,0.002%
87639,2,0.0004%
87640,5,0.0009%
87648,2,0.0004%
87657,3,0.0005%
87660,9,0.0016%
87665,1,0.0002%
87668,1,0.0002%
87669,2,0.0004%
87672,15,0.0027%
87680,1,0.0002%
87688,18,0.0033%
87690,4,0.0007%
87694,1,0.0002%
87696,15,0.0027%
87702,10,0.0018%
87703,3,0.0005%
87707,6,0.0011%
87710,6,0.0011%
87713,1,0.0002%
87714,2,0.0004%
87715,1,0.0002%
87720,15,0.0027%
87723,1,0.0002%
87725,4,0.0007%
87730,2,0.0004%
87737,4,0.0007%
87740,33,0.006%
87750,4,0.0007%
87754,1,0.0002%
87756,47,0.0085%
87759,2,0.0004%
87768,29,0.0053%
87776,37,0.0067%
87780,128,0.0232%
87785,6,0.0011%
87791,1,0.0002%
87792,1,0.0002%
87796,2,0.0004%
87800,2,0.0004%
87802,7,0.0013%
87804,2,0.0004%
87808,3,0.0005%
87809,3,0.0005%
87815,1,0.0002%
87819,1,0.0002%
87822,11,0.002%
87837,3,0.0005%
87840,20,0.0036%
87842,1,0.0002%
87843,1,0.0002%
87848,2,0.0004%
87849,2,0.0004%
87854,2,0.0004%
87856,7,0.0013%
87860,3,0.0005%
87862,3,0.0005%
87870,6,0.0011%
87875,1,0.0002%
87882,2,0.0004%
87885,1,0.0002%
87889,3,0.0005%
87890,2,0.0004%
87892,1,0.0002%
87894,2,0.0004%
87899,4,0.0007%
87900,1,0.0002%
87906,3,0.0005%
87910,1,0.0002%
87912,6,0.0011%
87914,3,0.0005%
87916,2,0.0004%
87920,9,0.0016%
87924,5,0.0009%
87927,2,0.0004%
87928,1,0.0002%
87932,5,0.0009%
87935,6,0.0011%
87936,9,0.0016%
87945,7,0.0013%
87952,1,0.0002%
87953,9,0.0016%
87954,17,0.0031%
87958,3,0.0005%
87962,20,0.0036%
87965,1,0.0002%
87966,6,0.0011%
87969,10,0.0018%
87970,2,0.0004%
87975,16,0.0029%
87978,1,0.0002%
87980,11,0.002%
87984,5,0.0009%
87987,16,0.0029%
87989,45,0.0082%
87990,46,0.0083%
88000,7,0.0013%
88008,40,0.0073%
88011,1,0.0002%
88020,5,0.0009%
88023,3,0.0005%
88032,2,0.0004%
88038,4,0.0007%
88040,4,0.0007%
88044,4,0.0007%
88051,2,0.0004%
88059,1,0.0002%
88060,1,0.0002%
88064,4,0.0007%
88065,2,0.0004%
88068,24,0.0044%
88072,9,0.0016%
88074,8,0.0015%
88075,1,0.0002%
88076,7,0.0013%
88080,3,0.0005%
88086,6,0.0011%
88088,5,0.0009%
88090,10,0.0018%
88102,6,0.0011%
88109,10,0.0018%
88110,5,0.0009%
88126,1,0.0002%
88128,19,0.0034%
88134,4,0.0007%
88136,5,0.0009%
88138,1,0.0002%
88140,2,0.0004%
88145,7,0.0013%
88146,1,0.0002%
88147,5,0.0009%
88150,26,0.0047%
88157,1,0.0002%
88160,6,0.0011%
88164,2,0.0004%
88165,26,0.0047%
88168,9,0.0016%
88172,3,0.0005%
88173,3,0.0005%
88179,2,0.0004%
88182,30,0.0054%
88184,1,0.0002%
88191,3,0.0005%
88192,14,0.0025%
88198,22,0.004%
88200,45,0.0082%
88206,2,0.0004%
88218,2,0.0004%
88220,1,0.0002%
88228,4,0.0007%
88234,8,0.0015%
88236,21,0.0038%
88242,1,0.0002%
88245,1,0.0002%
88256,2,0.0004%
88257,3,0.0005%
88263,4,0.0007%
88264,1,0.0002%
88266,1,0.0002%
88270,4,0.0007%
88274,5,0.0009%
88275,3,0.0005%
88288,1,0.0002%
88290,3,0.0005%
88297,1,0.0002%
88298,1,0.0002%
88303,19,0.0034%
88305,5,0.0009%
88307,1,0.0002%
88308,6,0.0011%
88319,3,0.0005%
88320,25,0.0045%
88324,1,0.0002%
88328,3,0.0005%
88330,1,0.0002%
88332,5,0.0009%
88335,1,0.0002%
88343,1,0.0002%
88346,1,0.0002%
88347,1,0.0002%
88350,2,0.0004%
88355,13,0.0024%
88356,6,0.0011%
88363,1,0.0002%
88365,1,0.0002%
88374,18,0.0033%
88380,3,0.0005%
88382,3,0.0005%
88389,14,0.0025%
88392,3,0.0005%
88394,104,0.0189%
88395,20,0.0036%
88396,13,0.0024%
88400,4,0.0007%
88404,20,0.0036%
88407,9,0.0016%
88409,14,0.0025%
88410,19,0.0034%
88416,2,0.0004%
88425,1,0.0002%
88426,3,0.0005%
88433,2,0.0004%
88434,6,0.0011%
88440,7,0.0013%
88450,3,0.0005%
88451,1,0.0002%
88452,16,0.0029%
88464,21,0.0038%
88466,1,0.0002%
88473,1,0.0002%
88476,5,0.0009%
88480,2,0.0004%
88486,1,0.0002%
88494,1,0.0002%
88500,3,0.0005%
88502,3,0.0005%
88504,12,0.0022%
88506,3,0.0005%
88508,4,0.0007%
88509,2,0.0004%
88510,2,0.0004%
88512,1,0.0002%
88515,3,0.0005%
88530,3,0.0005%
88531,3,0.0005%
88536,13,0.0024%
88540,2,0.0004%
88548,1,0.0002%
88550,11,0.002%
88555,2,0.0004%
88560,20,0.0036%
88572,3,0.0005%
88576,3,0.0005%
88578,2,0.0004%
88580,18,0.0033%
88587,2,0.0004%
88592,1,0.0002%
88595,2,0.0004%
88596,28,0.0051%
88600,1,0.0002%
88605,3,0.0005%
88608,18,0.0033%
88616,26,0.0047%
88620,100,0.0181%
88621,1,0.0002%
88623,116,0.021%
88624,3,0.0005%
88634,6,0.0011%
88635,4,0.0007%
88638,1,0.0002%
88640,3,0.0005%
88641,4,0.0007%
88644,1,0.0002%
88646,1,0.0002%
88650,3,0.0005%
88658,1,0.0002%
88660,5,0.0009%
88665,1,0.0002%
88669,2,0.0004%
88672,2,0.0004%
88678,3,0.0005%
88682,1,0.0002%
88683,8,0.0015%
88686,5,0.0009%
88688,9,0.0016%
88690,2,0.0004%
88692,11,0.002%
88695,1,0.0002%
88704,23,0.0042%
88708,2,0.0004%
88711,4,0.0007%
88723,5,0.0009%
88725,3,0.0005%
88726,5,0.0009%
88730,4,0.0007%
88740,13,0.0024%
88749,2,0.0004%
88752,1,0.0002%
88754,9,0.0016%
88755,3,0.0005%
88760,2,0.0004%
88765,4,0.0007%
88768,3,0.0005%
88773,2,0.0004%
88774,2,0.0004%
88775,2,0.0004%
88776,3,0.0005%
88779,1,0.0002%
88780,55,0.01%
88784,1,0.0002%
88786,2,0.0004%
88788,2,0.0004%
88795,10,0.0018%
88796,3,0.0005%
88800,5,0.0009%
88803,6,0.0011%
88810,22,0.004%
88814,1,0.0002%
88816,16,0.0029%
88818,1,0.0002%
88821,16,0.0029%
88825,7,0.0013%
88828,19,0.0034%
88830,15,0.0027%
88831,31,0.0056%
88832,1,0.0002%
88837,1,0.0002%
88842,2,0.0004%
88848,1,0.0002%
88852,13,0.0024%
88854,2,0.0004%
88856,1,0.0002%
88862,1,0.0002%
88871,2,0.0004%
88872,6,0.0011%
88875,1,0.0002%
88880,2,0.0004%
88888,2,0.0004%
88892,1,0.0002%
88893,1,0.0002%
88894,1,0.0002%
88896,3,0.0005%
88900,3,0.0005%
88910,1,0.0002%
88914,5,0.0009%
88917,2,0.0004%
88920,8,0.0015%
88922,2,0.0004%
88928,1,0.0002%
88929,2,0.0004%
88935,25,0.0045%
88938,10,0.0018%
88944,14,0.0025%
88946,7,0.0013%
88953,1,0.0002%
88956,1,0.0002%
88960,1,0.0002%
88968,3,0.0005%
88970,20,0.0036%
88973,2,0.0004%
88977,3,0.0005%
88984,3,0.0005%
88985,6,0.0011%
88992,17,0.0031%
88998,10,0.0018%
89000,2,0.0004%
89001,1,0.0002%
89006,6,0.0011%
89010,25,0.0045%
89012,9,0.0016%
89019,1,0.0002%
89022,2,0.0004%
89024,23,0.0042%
89030,1,0.0002%
89032,2,0.0004%
89034,17,0.0031%
89039,1,0.0002%
89040,38,0.0069%
89042,29,0.0053%
89043,2,0.0004%
89044,3,0.0005%
89046,2,0.0004%
89052,3,0.0005%
89056,4,0.0007%
89060,1,0.0002%
89063,4,0.0007%
89065,4,0.0007%
89077,1,0.0002%
89081,10,0.0018%
89082,7,0.0013%
89088,9,0.0016%
89090,1,0.0002%
89094,1,0.0002%
89095,1,0.0002%
89096,3,0.0005%
89100,7,0.0013%
89105,1,0.0002%
89110,1,0.0002%
89112,3,0.0005%
89115,3,0.0005%
89121,5,0.0009%
89133,2,0.0004%
89148,7,0.0013%
89152,4,0.0007%
89154,3,0.0005%
89159,1,0.0002%
89166,25,0.0045%
89170,8,0.0015%
89175,5,0.0009%
89176,1,0.0002%
89180,5,0.0009%
89187,2,0.0004%
89194,2,0.0004%
89197,3,0.0005%
89198,1,0.0002%
89199,5,0.0009%
89205,3,0.0005%
89208,9,0.0016%
89211,2,0.0004%
89216,7,0.0013%
89217,3,0.0005%
89225,15,0.0027%
89232,16,0.0029%
89238,23,0.0042%
89240,7,0.0013%
89241,1,0.0002%
89243,12,0.0022%
89244,1,0.0002%
89247,9,0.0016%
89250,5,0.0009%
89252,39,0.0071%
89253,22,0.004%
89257,7,0.0013%
89262,3,0.0005%
89268,1,0.0002%
89270,1,0.0002%
89271,1,0.0002%
89280,8,0.0015%
89281,1,0.0002%
89284,2,0.0004%
89300,2,0.0004%
89301,5,0.0009%
89304,7,0.0013%
89305,1,0.0002%
89309,3,0.0005%
89310,1,0.0002%
89320,11,0.002%
89324,1,0.0002%
89325,4,0.0007%
89342,1,0.0002%
89351,2,0.0004%
89352,11,0.002%
89355,6,0.0011%
89358,3,0.0005%
89359,2,0.0004%
89362,1,0.0002%
89365,1,0.0002%
89370,1,0.0002%
89375,1,0.0002%
89376,5,0.0009%
89380,4,0.0007%
89386,4,0.0007%
89392,1,0.0002%
89394,2,0.0004%
89397,36,0.0065%
89400,3,0.0005%
89401,1,0.0002%
89404,10,0.0018%
89411,1,0.0002%
89423,1,0.0002%
89424,9,0.0016%
89425,2,0.0004%
89428,1,0.0002%
89430,3,0.0005%
89433,1,0.0002%
89434,2,0.0004%
89436,1,0.0002%
89438,1,0.0002%
89440,21,0.0038%
89445,2,0.0004%
89452,14,0.0025%
89460,15,0.0027%
89464,24,0.0044%
89466,2,0.0004%
89471,1,0.0002%
89472,3,0.0005%
89486,4,0.0007%
89488,2,0.0004%
89490,11,0.002%
89496,4,0.0007%
89500,1,0.0002%
89505,1,0.0002%
89512,1,0.0002%
89516,3,0.0005%
89518,6,0.0011%
89520,2,0.0004%
89523,9,0.0016%
89528,1,0.0002%
89540,10,0.0018%
89544,8,0.0015%
89549,1,0.0002%
89550,4,0.0007%
89552,3,0.0005%
89556,4,0.0007%
89562,1,0.0002%
89568,3,0.0005%
89571,2,0.0004%
89573,1,0.0002%
89585,3,0.0005%
89586,3,0.0005%
89598,1,0.0002%
89600,4,0.0007%
89604,1,0.0002%
89608,5,0.0009%
89610,13,0.0024%
89621,4,0.0007%
89625,1,0.0002%
89628,10,0.0018%
89631,5,0.0009%
89639,2,0.0004%
89640,6,0.0011%
89646,1,0.0002%
89648,7,0.0013%
89652,9,0.0016%
89655,6,0.0011%
89661,9,0.0016%
89664,2,0.0004%
89665,2,0.0004%
89666,12,0.0022%
89667,2,0.0004%
89670,7,0.0013%
89673,3,0.0005%
89675,18,0.0033%
89676,12,0.0022%
89680,1,0.0002%
89683,1,0.0002%
89688,2,0.0004%
89693,1,0.0002%
89694,2,0.0004%
89698,1,0.0002%
89700,2,0.0004%
89701,2,0.0004%
89705,1,0.0002%
89711,1,0.0002%
89712,2,0.0004%
89722,3,0.0005%
89725,2,0.0004%
89726,3,0.0005%
89744,6,0.0011%
89745,4,0.0007%
89748,1,0.0002%
89749,1,0.0002%
89760,13,0.0024%
89768,2,0.0004%
89770,1,0.0002%
89775,10,0.0018%
89776,1,0.0002%
89784,5,0.0009%
89790,10,0.0018%
89792,3,0.0005%
89794,2,0.0004%
89800,1,0.0002%
89804,5,0.0009%
89816,4,0.0007%
89822,1,0.0002%
89823,1,0.0002%
89824,2,0.0004%
89831,5,0.0009%
89832,1,0.0002%
89835,2,0.0004%
89838,15,0.0027%
89847,2,0.0004%
89856,17,0.0031%
89864,5,0.0009%
89866,1,0.0002%
89869,3,0.0005%
89870,9,0.0016%
89872,1,0.0002%
89879,3,0.0005%
89880,7,0.0013%
89886,14,0.0025%
89888,8,0.0015%
89889,1,0.0002%
89890,3,0.0005%
89892,5,0.0009%
89895,4,0.0007%
89900,9,0.0016%
89908,2,0.0004%
89910,6,0.0011%
89913,2,0.0004%
89915,1,0.0002%
89916,1,0.0002%
89920,2,0.0004%
89925,1,0.0002%
89929,2,0.0004%
89936,1,0.0002%
89938,3,0.0005%
89946,1,0.0002%
89947,1,0.0002%
89948,3,0.0005%
89951,1,0.0002%
89958,3,0.0005%
89964,21,0.0038%
89972,1,0.0002%
89976,4,0.0007%
89991,1,0.0002%
89994,5,0.0009%
89995,6,0.0011%
89996,1,0.0002%
89997,2,0.0004%
89999,1,0.0002%
90000,5,0.0009%
90009,2,0.0004%
90015,1,0.0002%
90016,17,0.0031%
90022,8,0.0015%
90024,13,0.0024%
90029,1,0.0002%
90032,1,0.0002%
90036,6,0.0011%
90042,1,0.0002%
90045,12,0.0022%
90048,2,0.0004%
90052,1,0.0002%
90055,8,0.0015%
90060,15,0.0027%
90064,2,0.0004%
90068,1,0.0002%
90072,4,0.0007%
90079,5,0.0009%
90080,1,0.0002%
90085,7,0.0013%
90090,16,0.0029%
90092,1,0.0002%
90094,2,0.0004%
90097,16,0.0029%
90099,7,0.0013%
90100,18,0.0033%
90103,1,0.0002%
90112,1,0.0002%
90117,1,0.0002%
90118,2,0.0004%
90119,3,0.0005%
90125,2,0.0004%
90131,2,0.0004%
90134,4,0.0007%
90138,1,0.0002%
90144,1,0.0002%
90146,1,0.0002%
90153,1,0.0002%
90160,2,0.0004%
90168,10,0.0018%
90171,3,0.0005%
90174,3,0.0005%
90190,9,0.0016%
90200,5,0.0009%
90201,3,0.0005%
90202,4,0.0007%
90207,1,0.0002%
90209,1,0.0002%
90210,12,0.0022%
90225,2,0.0004%
90226,2,0.0004%
90228,7,0.0013%
90240,10,0.0018%
90243,1,0.0002%
90244,1,0.0002%
90248,2,0.0004%
90249,3,0.0005%
90252,17,0.0031%
90258,1,0.0002%
90266,3,0.0005%
90270,1,0.0002%
90272,17,0.0031%
90277,3,0.0005%
90280,4,0.0007%
90282,1,0.0002%
90285,2,0.0004%
90288,15,0.0027%
90294,5,0.0009%
90298,1,0.0002%
90300,12,0.0022%
90306,3,0.0005%
90308,18,0.0033%
90312,33,0.006%
90315,1,0.0002%
90321,10,0.0018%
90324,1,0.0002%
90335,1,0.0002%
90342,1,0.0002%
90345,7,0.0013%
90346,3,0.0005%
90350,2,0.0004%
90356,4,0.0007%
90360,1,0.0002%
90363,1,0.0002%
90365,3,0.0005%
90368,1,0.0002%
90372,9,0.0016%
90374,1,0.0002%
90376,5,0.0009%
90387,1,0.0002%
90389,2,0.0004%
90396,3,0.0005%
90400,3,0.0005%
90402,1,0.0002%
90404,13,0.0024%
90405,9,0.0016%
90424,1,0.0002%
90428,3,0.0005%
90432,5,0.0009%
90434,2,0.0004%
90440,8,0.0015%
90447,6,0.0011%
90450,4,0.0007%
90455,2,0.0004%
90457,3,0.0005%
90459,4,0.0007%
90465,1,0.0002%
90468,1,0.0002%
90470,8,0.0015%
90475,2,0.0004%
90479,1,0.0002%
90480,23,0.0042%
90482,4,0.0007%
90486,1,0.0002%
90496,2,0.0004%
90497,8,0.0015%
90501,1,0.0002%
90504,4,0.0007%
90508,5,0.0009%
90510,4,0.0007%
90513,1,0.0002%
90514,1,0.0002%
90516,3,0.0005%
90519,8,0.0015%
90520,2,0.0004%
90522,5,0.0009%
90524,13,0.0024%
90525,9,0.0016%
90528,4,0.0007%
90534,1,0.0002%
90552,5,0.0009%
90558,1,0.0002%
90560,7,0.0013%
90573,2,0.0004%
90574,1,0.0002%
90576,6,0.0011%
90579,1,0.0002%
90581,3,0.0005%
90582,3,0.0005%
90584,1,0.0002%
90585,1,0.0002%
90596,2,0.0004%
90598,2,0.0004%
90600,4,0.0007%
90601,1,0.0002%
90610,13,0.0024%
90611,1,0.0002%
90616,4,0.0007%
90620,2,0.0004%
90624,2,0.0004%
90626,3,0.0005%
90630,7,0.0013%
90636,1,0.0002%
90637,5,0.0009%
90639,3,0.0005%
90640,7,0.0013%
90649,1,0.0002%
90650,1,0.0002%
90651,1,0.0002%
90662,6,0.0011%
90666,10,0.0018%
90675,9,0.0016%
90678,3,0.0005%
90684,5,0.0009%
90687,1,0.0002%
90688,6,0.0011%
90692,2,0.0004%
90694,1,0.0002%
90695,2,0.0004%
90706,13,0.0024%
90710,1,0.0002%
90712,1,0.0002%
90720,17,0.0031%
90730,4,0.0007%
90736,19,0.0034%
90738,10,0.0018%
90740,1,0.0002%
90741,1,0.0002%
90744,3,0.0005%
90750,3,0.0005%
90763,4,0.0007%
90768,2,0.0004%
90770,5,0.0009%
90774,1,0.0002%
90780,2,0.0004%
90785,1,0.0002%
90789,1,0.0002%
90792,6,0.0011%
90798,1,0.0002%
90800,4,0.0007%
90801,1,0.0002%
90804,12,0.0022%
90812,1,0.0002%
90815,9,0.0016%
90816,6,0.0011%
90817,2,0.0004%
90820,4,0.0007%
90827,2,0.0004%
90843,3,0.0005%
90846,4,0.0007%
90850,2,0.0004%
90852,4,0.0007%
90856,1,0.0002%
90860,4,0.0007%
90862,1,0.0002%
90870,3,0.0005%
90873,3,0.0005%
90880,2,0.0004%
90882,9,0.0016%
90885,3,0.0005%
90895,3,0.0005%
90896,5,0.0009%
90900,5,0.0009%
90902,1,0.0002%
90906,2,0.0004%
90909,1,0.0002%
90913,4,0.0007%
90915,25,0.0045%
90916,3,0.0005%
90923,3,0.0005%
90930,3,0.0005%
90932,1,0.0002%
90941,2,0.0004%
90943,1,0.0002%
90944,7,0.0013%
90945,2,0.0004%
90948,29,0.0053%
90950,6,0.0011%
90951,9,0.0016%
90954,1,0.0002%
90960,6,0.0011%
90968,1,0.0002%
90972,2,0.0004%
90979,4,0.0007%
90984,3,0.0005%
90992,11,0.002%
91000,5,0.0009%
91008,3,0.0005%
91012,2,0.0004%
91014,2,0.0004%
91016,1,0.0002%
91020,7,0.0013%
91025,1,0.0002%
91026,3,0.0005%
91027,4,0.0007%
91035,1,0.0002%
91044,9,0.0016%
91052,9,0.0016%
91053,2,0.0004%
91056,1,0.0002%
91060,8,0.0015%
91065,1,0.0002%
91074,2,0.0004%
91078,5,0.0009%
91080,13,0.0024%
91086,5,0.0009%
91096,1,0.0002%
91098,4,0.0007%
91104,11,0.002%
91113,1,0.0002%
91124,12,0.0022%
91126,1,0.0002%
91133,1,0.0002%
91134,4,0.0007%
91140,20,0.0036%
91142,5,0.0009%
91143,1,0.0002%
91147,1,0.0002%
91152,7,0.0013%
91155,2,0.0004%
91160,6,0.0011%
91164,11,0.002%
91168,1,0.0002%
91176,1,0.0002%
91180,6,0.0011%
91182,1,0.0002%
91184,2,0.0004%
91188,3,0.0005%
91191,1,0.0002%
91200,8,0.0015%
91206,1,0.0002%
91224,2,0.0004%
91225,7,0.0013%
91233,4,0.0007%
91234,8,0.0015%
91245,4,0.0007%
91250,2,0.0004%
91254,2,0.0004%
91256,3,0.0005%
91258,17,0.0031%
91260,3,0.0005%
91261,1,0.0002%
91264,1,0.0002%
91266,4,0.0007%
91278,4,0.0007%
91280,11,0.002%
91287,18,0.0033%
91290,1,0.0002%
91298,2,0.0004%
91300,1,0.0002%
91304,3,0.0005%
91310,9,0.0016%
91312,16,0.0029%
91314,5,0.0009%
91323,1,0.0002%
91324,2,0.0004%
91325,2,0.0004%
91332,1,0.0002%
91333,12,0.0022%
91336,1,0.0002%
91339,3,0.0005%
91341,1,0.0002%
91342,1,0.0002%
91344,1,0.0002%
91350,21,0.0038%
91355,1,0.0002%
91356,2,0.0004%
91357,1,0.0002%
91363,6,0.0011%
91368,8,0.0015%
91371,2,0.0004%
91372,5,0.0009%
91375,7,0.0013%
91377,2,0.0004%
91378,12,0.0022%
91385,3,0.0005%
91388,1,0.0002%
91390,1,0.0002%
91392,6,0.0011%
91400,2,0.0004%
91408,5,0.0009%
91409,3,0.0005%
91415,7,0.0013%
91416,1,0.0002%
91425,1,0.0002%
91428,2,0.0004%
91430,3,0.0005%
91434,1,0.0002%
91438,4,0.0007%
91440,3,0.0005%
91443,1,0.0002%
91448,2,0.0004%
91455,2,0.0004%
91462,1,0.0002%
91464,3,0.0005%
91476,8,0.0015%
91481,6,0.0011%
91485,6,0.0011%
91494,18,0.0033%
91500,5,0.0009%
91504,2,0.0004%
91506,4,0.0007%
91509,1,0.0002%
91512,5,0.0009%
91516,1,0.0002%
91520,24,0.0044%
91524,2,0.0004%
91525,1,0.0002%
91530,2,0.0004%
91537,1,0.0002%
91540,2,0.0004%
91542,5,0.0009%
91545,1,0.0002%
91553,1,0.0002%
91556,2,0.0004%
91560,12,0.0022%
91568,1,0.0002%
91574,9,0.0016%
91575,1,0.0002%
91580,3,0.0005%
91584,10,0.0018%
91586,1,0.0002%
91590,13,0.0024%
91592,3,0.0005%
91598,1,0.0002%
91600,3,0.0005%
91605,4,0.0007%
91606,2,0.0004%
91609,1,0.0002%
91613,2,0.0004%
91615,1,0.0002%
91630,6,0.0011%
91632,2,0.0004%
91635,3,0.0005%
91640,7,0.0013%
91648,1,0.0002%
91650,5,0.0009%
91653,4,0.0007%
91656,3,0.0005%
91664,1,0.0002%
91665,2,0.0004%
91670,3,0.0005%
91675,1,0.0002%
91680,2,0.0004%
91686,1,0.0002%
91687,1,0.0002%
91690,1,0.0002%
91700,1,0.0002%
91701,2,0.0004%
91707,5,0.0009%
91708,3,0.0005%
91715,1,0.0002%
91718,4,0.0007%
91719,1,0.0002%
91728,12,0.0022%
91732,1,0.0002%
91739,3,0.0005%
91740,6,0.0011%
91744,1,0.0002%
91745,1,0.0002%
91750,1,0.0002%
91751,9,0.0016%
91756,1,0.0002%
91760,1,0.0002%
91761,1,0.0002%
91770,17,0.0031%
91773,1,0.0002%
91776,1,0.0002%
91778,3,0.0005%
91780,1,0.0002%
91785,20,0.0036%
91791,6,0.0011%
91796,7,0.0013%
91800,6,0.0011%
91803,10,0.0018%
91804,1,0.0002%
91805,14,0.0025%
91806,13,0.0024%
91808,3,0.0005%
91821,1,0.0002%
91827,1,0.0002%
91829,1,0.0002%
91839,1,0.0002%
91840,7,0.0013%
91848,2,0.0004%
91854,4,0.0007%
91857,3,0.0005%
91863,2,0.0004%
91866,5,0.0009%
91868,1,0.0002%
91871,2,0.0004%
91872,9,0.0016%
91876,8,0.0015%
91884,8,0.0015%
91887,2,0.0004%
91902,2,0.0004%
91904,1,0.0002%
91908,2,0.0004%
91924,1,0.0002%
91930,6,0.0011%
91932,7,0.0013%
91935,2,0.0004%
91936,5,0.0009%
91938,6,0.0011%
91945,2,0.0004%
91948,1,0.0002%
91955,2,0.0004%
91956,1,0.0002%
91960,12,0.0022%
